GW_devCount_vs_appCount,GW_devCount_vs_compCount,GW_upwardBW_vs_appCount,GW_resCap_vs_demand,ES_devCount_vs_appCount,ES_devCount_vs_compCount,ES_upwardBW_vs_appCount,ES_resCap_vs_demand,is_fail
3,0.15,33.5,0.605610673965104,12,0.46153846153846156,130,1.9542251111871358,0
1.5,0.08823529411764706,33.5,0.47742717396009193,6.5,0.38235294117647056,65,1.2232480630221185,0
1,0.04225352112676056,23.733333333333334,0.25608878363632154,4.333333333333333,0.18309859154929578,43.333333333333336,0.656142183835992,0
1,0.04225352112676056,16.75,0.25608878363632154,4.333333333333333,0.18309859154929578,43.333333333333336,0.656142183835992,0
1,0.04225352112676056,16.75,0.25608878363632154,4.333333333333333,0.18309859154929578,43.333333333333336,0.656142183835992,0
0.75,0.027777777777777776,17.8,0.18183017095003387,3.25,0.12037037037037036,32.5,0.46587923047757224,1
1,0.04225352112676056,16.75,0.25608878363632154,4.333333333333333,0.18309859154929578,43.333333333333336,0.656142183835992,1
0.75,0.033707865168539325,17.8,0.20707393083768263,3.25,0.14606741573033707,32.5,0.5305579544174521,1
0.75,0.0297029702970297,16.75,0.18337184751708208,3.25,0.12871287128712872,32.5,0.46982926302139627,1
1,0.04225352112676056,11.166666666666666,0.25608878363632154,4,0.18309859154929578,43.333333333333336,0.656142183835992,1
0.75,0.0379746835443038,16.75,0.24689423614997213,3.25,0.16455696202531644,32.5,0.6325842193620596,1
0.75,0.03125,16.75,0.20185198740941376,3.25,0.13541666666666666,32.5,0.517178464241271,1
1,0.04225352112676056,11.166666666666666,0.25608878363632154,4,0.18309859154929578,43.333333333333336,0.656142183835992,1
1,0.04225352112676056,11.166666666666666,0.25608878363632154,4,0.18309859154929578,43.333333333333336,0.656142183835992,1
1,0.04225352112676056,11.166666666666666,0.2159254470493522,4,0.18309859154929578,43.333333333333336,0.656142183835992,1
1,0.04225352112676056,11.166666666666666,0.25608878363632154,4,0.18309859154929578,43.333333333333336,0.656142183835992,1
1,0.04225352112676056,16.75,0.2264126075577564,3.25,0.1566265060240964,32.5,0.53210634331871,1
1,0.04225352112676056,11.166666666666666,0.25608878363632154,4,0.18309859154929578,43.333333333333336,0.656142183835992,1
1,0.04225352112676056,11.166666666666666,0.2055551684897465,4,0.17647058823529413,43.333333333333336,0.656142183835992,1
1,0.04225352112676056,11.166666666666666,0.25608878363632154,4,0.18309859154929578,43.333333333333336,0.656142183835992,1
1,0.04225352112676056,11.166666666666666,0.25608878363632154,4,0.18309859154929578,43.333333333333336,0.656142183835992,1
0.75,0.03225806451612903,16.75,0.18883429491020534,3.25,0.13978494623655913,32.5,0.48382496447586937,1
1,0.04225352112676056,11.166666666666666,0.25608878363632154,4,0.18309859154929578,43.333333333333336,0.656142183835992,1
0.75,0.03333333333333333,16.75,0.19727781652984214,3.25,0.14444444444444443,32.5,0.505458675394824,1
5,0.4166666666666667,23.6,1.1385806451612903,18,1.5,835,14.538270967741935,0
1,0.03333333333333333,5.9,0.08079106390770924,1.4,0.04666666666666667,110.4,1.031602270646402,0
0.8333333333333334,0.03333333333333333,3.9333333333333336,0.06918071344570759,1.4,0.04666666666666667,110.4,0.8833524108192867,0
0.8333333333333334,0.027932960893854747,3.9333333333333336,0.06918071344570759,1.1666666666666667,0.03910614525139665,92,0.8833524108192867,0
0.7142857142857143,0.026455026455026454,3.9333333333333336,0.06918071344570759,1,0.037037037037037035,78.85714285714286,0.8833524108192867,0
0.7142857142857143,0.026455026455026454,3.3714285714285714,0.052683113223318125,1,0.037037037037037035,78.85714285714286,0.6726983975354046,0
0.625,0.025906735751295335,3.3714285714285714,0.052683113223318125,0.875,0.03626943005181347,69,0.6726983975354046,0
5,0.1111111111111111,23.6,0.3164379725567067,7,0.15555555555555556,552,3.055551666199944,0
2.5,0.06578947368421052,18.3,0.17405400882715918,3.5,0.09210526315789473,276,2.1854438936457865,0
1.6666666666666667,0.05102040816326531,12.200000000000001,0.14187795188323754,2.3333333333333335,0.07142857142857142,184,1.663921770458055,0
1.6666666666666667,0.05102040816326531,11.8,0.13487405233553437,2.3333333333333335,0.07142857142857142,184,1.663921770458055,0
1.25,0.036231884057971016,9.15,0.1043307086614173,1.75,0.050724637681159424,138,1.2316538032819269,0
1.25,0.036231884057971016,7.866666666666667,0.09781403804371924,1.75,0.050724637681159424,138,1.2316538032819269,0
1.25,0.036231884057971016,5.9,0.09101974294968335,1.75,0.050724637681159424,138,1.1622098900418791,0
1,0.036231884057971016,4.720000000000001,0.0760991427635097,1.75,0.050724637681159424,138,0.9716922227779985,0
0.625,0.02564102564102564,3.3714285714285714,0.052683113223318125,0.875,0.035897435897435895,69,0.6726983975354046,1
0.625,0.02577319587628866,3.3714285714285714,0.052683113223318125,0.875,0.03608247422680412,69,0.6726983975354046,1
0.625,0.026455026455026454,2.95,0.04721696043492685,1,0.037037037037037035,78.85714285714286,0.6029023661989918,1
0.625,0.026455026455026454,2.95,0.044731479322336336,1,0.037037037037037035,78.85714285714286,0.5711658369916762,1
0.625,0.026455026455026454,2.95,0.050621292609887895,1,0.037037037037037035,78.85714285714286,0.6463714905285862,1
0.625,0.026455026455026454,2.95,0.04885178377660164,1,0.037037037037037035,78.85714285714286,0.6237770445335165,1
0.625,0.024630541871921183,3.3714285714285714,0.052683113223318125,0.875,0.034482758620689655,69,0.6726983975354046,1
0.625,0.02304147465437788,3.3714285714285714,0.052683113223318125,0.875,0.03225806451612903,69,0.6726983975354046,1
0.625,0.024875621890547265,3.3714285714285714,0.052683113223318125,0.875,0.03482587064676617,69,0.6726983975354046,1
5,0.21739130434782608,70.6,0.7624391276730892,8,0.34782608695652173,926,2.323817712811694,0
0.8333333333333334,0.03816793893129771,8.55,0.11156723932272702,1.3333333333333333,0.061068702290076333,154.33333333333334,0.3789187370310133,0
0.8333333333333334,0.03816793893129771,8.55,0.09776592625174102,1.3333333333333333,0.061068702290076333,154.33333333333334,0.3789187370310133,0
0.7142857142857143,0.027472527472527472,8.55,0.08431280730508077,1.1428571428571428,0.04395604395604396,132.28571428571428,0.26620044324058106,0
0.7142857142857143,0.027472527472527472,5.7,0.08097789786872302,1.1428571428571428,0.04395604395604396,132.28571428571428,0.26620044324058106,0
0.7142857142857143,0.027472527472527472,5.7,0.07723212346715695,1.1428571428571428,0.04395604395604396,123,0.26620044324058106,0
0.625,0.027472527472527472,4.275,0.07378795214053528,1.1428571428571428,0.04395604395604396,107.625,0.26620044324058106,0
0.625,0.027472527472527472,4.275,0.07378795214053528,1.1428571428571428,0.04395604395604396,107.625,0.26620044324058106,0
2.5,0.10416666666666667,35.3,0.36567656765676565,4,0.16666666666666666,463,0.8970095257061304,0
1.6666666666666667,0.078125,23.53333333333333,0.27868281546260104,2.6666666666666665,0.125,308.6666666666667,0.6649607558497158,0
1.6666666666666667,0.078125,23.53333333333333,0.27868281546260104,2.6666666666666665,0.125,308.6666666666667,0.6649607558497158,0
1.25,0.049019607843137254,17.65,0.14035976691157837,2,0.0784313725490196,231.5,0.44001237361814355,0
1.25,0.049019607843137254,17.65,0.14035976691157837,2,0.0784313725490196,231.5,0.44001237361814355,0
1.25,0.049019607843137254,17.1,0.14035976691157837,2,0.0784313725490196,231.5,0.44001237361814355,0
1,0.04201680672268908,14.12,0.11829829172141915,1.6,0.06722689075630252,185.2,0.4104487812286429,0
1,0.04201680672268908,8.55,0.11829829172141915,1.6,0.06722689075630252,185.2,0.4104487812286429,0
0.7142857142857143,0.027472527472527472,5.7,0.07040385376798203,1.1428571428571428,0.04395604395604396,132.28571428571428,0.26620044324058106,1
0.625,0.02358490566037736,5.7,0.07110137029577854,1,0.03773584905660377,115.75,0.23685824963629026,1
0.625,0.02577319587628866,5.7,0.07759856051545613,1,0.041237113402061855,115.75,0.24709711631649198,1
0.7142857142857143,0.027472527472527472,4.275,0.06971197825461956,1.1428571428571428,0.04395604395604396,123,0.26620044324058106,1
0.625,0.024875621890547265,5.7,0.07685576471592606,1,0.03980099502487562,115.75,0.23145436171488265,1
0.5555555555555556,0.027472527472527472,4.275,0.06949130463101671,1.1428571428571428,0.04395604395604396,95.66666666666667,0.26620044324058106,1
