GW_devCount_vs_appCount,GW_devCount_vs_compCount,GW_upwardBW_vs_appCount,GW_resCap_vs_demand,ES_devCount_vs_appCount,ES_devCount_vs_compCount,ES_upwardBW_vs_appCount,ES_resCap_vs_demand,is_fail
1.5,0.08256880733944955,0.72,0.16905496176756366,2.0,0.11009174311926606,134.16666666666666,0.3664807852083421,1
1.6666666666666667,0.06756756756756757,1.01,0.09582315466781624,38.66666666666666,1.5675675675675675,78.33333333333333,5.3209249413229855,0
1.0,0.05555555555555555,2.505,0.17400799753921867,14.142857142857142,0.792,23.857142857142854,2.0672279401674216,0
5.5,0.13636363636363635,0.563,0.3101347772350066,45.0,1.3636363636363635,22.4,4.098469676931795,0
2.0,0.13636363636363635,0.83,0.3589920310144304,43.0,2.4473684210526314,252.33333333333331,6.3688218824036165,0
0.4615384615384616,0.025423728813559324,0.2205,0.056924908185631964,3.466666666666667,0.19548872180451127,8.066666666666666,0.8593781973002412,0
2.0,0.07142857142857142,21.95,0.1353507890537266,3.333333333333333,0.11904761904761905,94.33333333333331,0.8555667198613001,0
0.8888888888888888,0.035502958579881665,0.895,0.06507605344295991,7.8181818181818175,0.3185185185185185,11.2,1.0532381377915134,0
1.2,0.061855670103092786,1.0033333333333332,0.15851573187414494,18.666666666666668,0.8304093567251462,24.3,1.7768029833573864,0
0.5,0.023890784982935155,0.1805,0.028158344669220882,4.380952380952381,0.20956719817767652,24.94117647058824,0.8233908315442258,1
0.5714285714285714,0.02298850574712644,0.209,0.028556040286529864,5.222222222222221,0.2146118721461187,30.461538461538463,0.733403803283773,1
0.8571428571428571,0.04411764705882353,3.5200000000000005,0.10764210366547773,1.875,0.07575757575757576,16.0,0.648529092782387,0
0.3333333333333333,0.017964071856287425,0.60625,0.05439391299297205,7.0769230769230775,0.3607843137254902,7.581818181818183,1.509673336365014,0
0.5714285714285714,0.0273972602739726,1.4383333333333337,0.08470734153164089,1.125,0.06716417910447761,63.0,0.299824796923707,1
0.625,0.03968253968253968,0.7733333333333333,0.15522732336404502,1.0,0.06349206349206349,94.375,0.20510871417150492,1
0.8571428571428571,0.03896103896103896,2.357142857142857,0.06394539022772497,7.727272727272727,0.3899082568807339,8.755555555555555,1.2825652432014063,0
0.6666666666666666,0.02666666666666667,2.043333333333333,0.1514531226678607,1.4,0.08235294117647059,56.0,0.22507826887661134,0
1.2,0.047244094488188976,4.25,0.13716572676005093,1.8,0.07086614173228346,13.45,0.7202110241950153,0
0.4444444444444444,0.034653465346534656,0.4233333333333333,0.0983277969642504,6.904761904761906,0.2985611510791367,3.1909090909090914,0.9039808408728048,1
